dataset,lat,lon,block_id,blkgrp_id,name,capacity,type,val_date,status,website,contact,address,fk_type
samhsa,44.033784,-84.0112066,260119703003093,260119703003,Sterling Area Health Center,NA,Psychiatric emergency onsite services,NA,NA,http://www.sterlinghealth.net,989-654-2491,"725 e state st, sterling, mi 48659, usa",PEON
samhsa,42.735624,-84.486721,260650041004001,260650041004,Lansing Psychological Associates,NA,Psychiatric emergency onsite services,NA,NA,http://www.lansingpsych.net,517-337-6545,"234 e michigan ave, east lansing, mi 48823, usa",PEON
samhsa,42.587963,-83.545686,261251351001026,261251351001,ADF Counseling,NA,Psychiatric emergency walk-in services,NA,NA,http://,586-994-9757,"3515 ravinewood ct, commerce charter twp, mi 48382, usa",WI
samhsa,42.543455,-83.3569825,261251571001010,261251571001,ADF Counseling,NA,Psychiatric emergency walk-in services,NA,NA,http://adfcounseling.org,586-994-9757,"5600 w maple rd, west bloomfield township, mi 48322, usa",WI
samhsa,42.388644,-83.481041,260030002001254,260030002001,Lincoln Behavioral Services,NA,Psychiatric emergency onsite services,NA,NA,http://www.lbscares.com,734-459-5590,"14502 sheldon rd, plymouth, mi 48170, usa",PEON
samhsa,42.362634,-83.277849,261635555001001,261635555001,Lincoln Behavioral Services,NA,Psychiatric emergency onsite services,NA,NA,http://www.lbscares.com,313-450-4500,"9315 telegraph rd, redford charter twp, mi 48239, usa",PEON
samhsa,42.3411488,-83.2444575,261635715001002,261635715001,Vista Maria,NA,Psychiatric emergency onsite services,NA,NA,http://www.vistamaria.org,313-271-3050 x184,"20912 whitlock dr, dearborn heights, mi 48127, usa",PEON
samhsa,42.2588567,-83.3295446,261635855002006,261635855002,All Well Being Services,NA,Psychiatric emergency walk-in services,NA,NA,http://www.awbs.org,734-629-5000,"6700 middlebelt rd, romulus, mi 48174, usa",WI
samhsa,42.9560043,-82.4373349,261476200001006,261476200001,Catholic Charities of SE Michigan,NA,Psychiatric emergency onsite services,NA,NA,http://ccsem.org,810-987-9100 x5074,"2601 13th st, port huron, mi 48060, usa",PEON
samhsa,42.1976059,-83.2983397,261635844001010,261635844001,Community Care Services,NA,Psychiatric emergency walk-in services,NA,NA,http://www.comcareserv.org,313-389-7500,"26650 eureka rd, taylor, mi 48180, usa",WI
samhsa,42.258307,-83.166603,261635770005001,261635770005,Community Care Services,NA,Psychiatric emergency walk-in services,NA,NA,http://www.comcareserv.org/,313-389-7500,"26184 w outer dr, lincoln park, mi 48146, usa",WI
samhsa,42.2124968,-83.2277639,261635811001007,261635811001,Guidance Center,NA,Psychiatric emergency onsite services,NA,NA,http://www.guidance-center.org,734-785-7700 x7607,"19401 northline rd, southgate, mi 48195, usa",PEON
samhsa,42.3529564,-83.0038062,260030002001254,260030002001,All Well Being Services,NA,Psychiatric emergency walk-in services,NA,NA,http://www.awbs.org,313-347-2070,"1423 field st, detroit, mi 48214, usa",WI
samhsa,42.3764403,-82.93542,260030002001254,260030002001,All Well Being Services,NA,Psychiatric emergency walk-in services,NA,NA,http://www.awbs.org,313-825-2403,"15222 e jefferson ave, grosse pointe park, mi 48230, usa",WI
nppes,42.2264162,-83.63338809999999,261614106001002,261614106001,synod residential services,NA,"Community Based Residential Treatment Facility, Mental Illness",08/22/2020,Open,NA,7344839363,"615 s mansfield st, ypsilanti, mi 48197, usa",320800000X
nppes,42.5653854,-84.4512737,260650063021032,260650063021,"consumer services, inc.",NA,Psychiatric Residential Treatment Facility,06/25/2018,Open,NA,5176765405,"585 jewett rd, mason, mi 48854, usa",323P00000X
nppes,42.984674,-84.558662,260370108023008,260370108023,"ccs/lansing, inc",NA,Psychiatric Residential Treatment Facility,08/22/2020,Open,NA,9892241177,"http://turningpointyouth.net/, 101 w townsend rd, st johns, mi 48879, usa",323P00000X
nppes,42.8411194,-83.61221019999999,261251240001018,261251240001,rose hill center inc,NA,"Community Based Residential Treatment Facility, Mental Illness",02/18/2020,Open,NA,2486345530,"5130 rose hill blvd, holly, mi 48442, usa",320800000X
nppes,42.6555799,-83.3268003,261251409003005,261251409003,common ground,NA,Psychiatric Residential Treatment Facility,05/20/2014,Open,NA,2484568150,"1200 n telegraph, pontiac, mi 48340, usa",323P00000X
nppes,42.98506159999999,-85.660786,260810013002015,260810013002,hope network behavioral health services,NA,Psychiatric Residential Treatment Facility,08/22/2020,Open,NA,6164544777,"385 leonard st ne, grand rapids, mi 49503, usa",323P00000X
nppes,42.4712691,-83.2926981,261251617002006,261251617002,"d & m consultants, inc",NA,Psychiatric Residential Treatment Facility,02/05/2015,Open,NA,2486417200,"25071 w 10 mile rd, southfield, mi 48033, usa",323P00000X
