cmit_id,nqf_id,cms_ecqm_id,qnbr_id,qcdr_id,other_id,measure_title,measure_description,measure_numerator,measure_denominator,cat_nqs_domain,key_access,key_decision,key_planning,key_risk,key_unrestrict,key_er,key_coordination,key_continuity,key_readmission,key_sud,key_mental_health,key_domains,set_medicaid,set_hedis,set_cahps,set_pbip,set_ccbhc,set_ipfqr,set_core_bh,select_programs,total_programs,is_ecqm
1013,1463,NA,NA,NA,NA,Standardized Hospitalization Ratio,Risk-adjusted standardized hospitalization ratio of the number of observed hospitalizations to the number of expected hospitalizations.,Number of inpatient hospital admissions among eligible patients at the facility during the reporting period.,"Number of hospital admissions that would be expected among eligible patients at the facility during the reporting period, given the patient mix at the facility.",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,FALSE
1043,NA,NA,NA,NA,NA,Improvement in Toilet Transferring,Percentage of home health quality episodes of care during which patients improved in ability to get to and from and on and off the toilet.,Number of home health quality episodes of care where the value recorded on the discharge assessment indicates less impairment in getting to and from and on and off the toilet at discharge than at start (or resumption) of care.,"Number of home health quality episodes of care ending with a discharge during the reporting period, other than those covered by generic or measure-specific exclusions.",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,FALSE
113,0166,NA,NA,NA,NA,Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS),"HCAHPS (NQF #0166) is a 32-item survey instrument that produces 11 publicly reported measures: 

7 multi-item measures (communication with doctors, communication with nurses, responsiveness of hospital staff, pain control, communication about medicines, discharge information and care transition); and 

4 single-item measures (cleanliness of the hospital environment, quietness of the hospital environment, overall rating of the hospital, and recommendation of hospital).

Please note: The FY 2020 Final Rule finalized the removal of the three Pain Management questions beginning with 10/1/19 discharges.","The HCAHPS Survey asks recently discharged patients about aspects of their hospital experience that they are uniquely suited to address. The core of the survey contains 21 items that ask how often or whether patients experienced a critical aspect of hospital care, rather than whether they were satisfied with their care. Also included in the survey are four screener items that direct patients to relevant questions, five items to adjust for the mix of patients across hospitals, and two items that support Congressionally-mandated reports. Hospitals may include additional questions after the core HCAHPS items. 

HCAHPS is administered to a random sample of adult inpatients between 48 hours and six weeks after discharge. Patients admitted in the medical, surgical and maternity care service lines are eligible for the survey; HCAHPS is not restricted to Medicare beneficiaries. Hospitals may use an approved survey vendor or collect their own HCAHPS data if approved by CMS to do so. HCAHPS can be implemented in four survey modes: mail, telephone, mail with telephone follow-up, or active interactive voice recognition (IVR), each of which requires multiple attempts to contact patients. Hospitals must survey patients throughout each month of the year. IPPS hospitals must achieve at least 300 completed surveys over four calendar quarters. 

For full details, see the current HCAHPS Quality Assurance Guidelines, V.13.0, pp. 55-63, 
under the Quality Assurance button on the official HCAHPS On-Line Web site at 

http://www.hcahpsonline.org/globalassets/hcahps/quality-assurance/2018_qag_v13.0.pdf","Eligibility for the HCAHPS Survey.
The HCAHPS Survey is broadly intended for patients of all payer types who meet the following criteria: 
 	Eighteen (18) years or older at the time of admission
 	Admission includes at least one overnight stay in the hospital 
 	An overnight stay is defined as an inpatient admission in which the patient's admission date is different from the patient's discharge date. The admission need not be 24 hours in length. For example, a patient had an overnight stay if he or she was admitted at 11:00 PM on Day 1, and discharged at 10:00 AM on Day 2. Patients who did not have an overnight stay should not be included in the sample frame (e.g., patients who were admitted for a short period of time solely for observation; patients admitted for same day diagnostic tests as part of outpatient care).
 	Non-psychiatric MS-DRG/principal diagnosis at discharge 

Note: Patients whose principal diagnosis falls within the Maternity Care, Medical, or Surgical service lines and who also have a secondary psychiatric diagnosis are still eligible for the survey. 

 	Alive at the time of discharge

Note: Pediatric patients (under 18 years old at admission) and patients with a primary psychiatric diagnosis are ineligible because the current HCAHPS instrument is not designed to address the unique situation of pediatric patients and their families, or the behavioral health issues pertinent to psychiatric patients. 

Exclusions from the HCAHPS Survey
There is a two-stage process for determining whether a discharged patient can be included in the HCAHPS Sample Frame. The first stage is to determine whether the discharged patient meets the HCAHPS eligibility criteria, listed above. If the patient meets the eligibility criteria, then a second set of criteria is applied: Exclusions from the HCAHPS Survey.

Patients who meet the eligible population criteria outlined above are to be included in the HCAHPS Sample Frame. However, there are a few categories of otherwise eligible patients who are excluded from the sample frame. These are: 
 	 No-Publicity patients who request that they not be contacted (see below)
 	Court/Law enforcement patients (i.e., prisoners); this does not include patients residing in halfway houses
 	Patients with a foreign home address (the U.S. territories Virgin Islands, Puerto Rico, Guam, American Samoa, and Northern Mariana Islands are not considered foreign addresses and therefore, are not excluded)
 	Patients discharged to hospice care (Hospice-home or Hospice-medical facility)
 	Patients who are excluded because of state regulations 
 	Patients discharged to nursing homes and skilled nursing facilities 

 No-Publicity patients are defined as those who voluntarily sign a no-publicity request while hospitalized or who directly request a survey vendor or hospital not to contact them ( Do Not Call List ). These patients should be excluded from the HCAHPS Survey. However, documentation of patients no-publicity status must be retained for a minimum of three years.

Court/Law enforcement patients (i.e., prisoners) are excluded from HCAHPS because of both the logistical difficulties in administering the survey to them in a timely manner, and regulations governing surveys of this population. These individuals can be identified by the admission source (UB-04 field location 15) 8 Court/Law enforcement, patient discharge status code (UB-04 field location 17) 21 Discharged/transferred to court/law enforcement, or patient discharge status code 87 Discharged/transferred to court/law enforcement with a planned acute care hospital inpatient readmission. This does not include patients residing in halfway houses.

Patients with a foreign home address are excluded from HCAHPS because of the logistical difficulty and added expense of calling or mailing outside of the United States (the U.S. territories - Virgin Islands, Puerto Rico, Guam, American Samoa, and Northern Mariana Islands are not considered foreign address",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,6,FALSE
1507,1768,NA,NA,NA,NA,Plan All-Cause Readmissions (PCR-HH),"For patients 18 years of age and older, the number of acute inpatient stays during the measurement year that were followed by an unplanned acute readmission for any diagnosis within 30 days and the predicted probability of an acute readmission. Data are reported in the following categories:

1. Count of Index Hospital Stays* (denominator)
2. Count of 30-Day Readmissions (numerator)
3. Average Adjusted Probability of Readmission 

*An acute inpatient stay with a discharge during the first 11 months of the measurement year (e.g., on or between January 1 and December 1).","At least one acute unplanned readmission for any diagnosis within 30 days of the date of discharge from the Index Hospital Stay, that is on or between the second day of the measurement year and the end of the measurement year.",Patients age 18 and older with a discharge from an acute inpatient stay (Index Hospital Stay) on or between January 1 and December 1 of the measurement year.,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,5,FALSE
1635,1879,NA,0383,NA,NA,Adherence to Antipsychotic Medications For Individuals with Schizophrenia (SAA-AD),Percentage of individuals at least 18 years of age as of the beginning of the measurement period with schizophrenia or schizoaffective disorder who had at least two prescriptions filled for any antipsychotic medication and who had a Proportion of Days Covered (PDC) of at least 0.8 for antipsychotic medications during the measurement period (12 consecutive months).,Individuals in the denominator who have a Proportion of Days Covered (PDC) of at least 0.8 for antipsychotic medications,Individuals at least 18 years of age as of the beginning of the measurement period with schizophrenia or schizoaffective disorder and at least two prescriptions filled for any antipsychotic medications during the measurement period (12 consecutive months),Patient Safety,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,9,FALSE
1641,0640,NA,NA,NA,NA,Hours of physical restraint use,The total number of hours that all patients admitted to a hospital-based inpatient psychiatric setting were maintained in physical restraint.,"The total number of hours that all psychiatric inpatients were maintained in physical restraint.

Numerator Basis: The numerator evaluates the number of hours of physical restraint; however, the algorithm calculates the number of minutes to ensure a more accurate calculation of the measure. Convert the minutes to hours when analyzing and reporting this measure.","Number of psychiatric inpatient days
Denominator basis per 1,000 hours
To compute this measure rate, a base of 1000 hours has been applied to total patient days in the denominator (i.e., total patient days are divided by 1000). The purpose of this is to create a smaller denominator number, thus providing a more understandable rate. When multiplied by 1000, this rate measures numerator occurrence per total patient days.",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,4,FALSE
1645,0560,NA,NA,NA,NA,Patients discharged on multiple antipsychotic medications with appropriate justification,"The proportion of patients discharged from a hospital-based inpatient psychiatric setting on two or more antipsychotic medications with appropriate justification. This measure is a part of a set of seven nationally implemented measures that address hospital-based inpatient psychiatric services (HBIPS-1: Admission Screening for Violence Risk, Substance Use, Psychological Trauma History and Patient Strengths completed, HBIPS-2: Physical Restraint, HBIPS-3: Seclusion, HBIPS-4: Multiple Antipsychotic Medications at Discharge, HBIPS-6: Post Discharge Continuing Care Plan and HBIPS-7: Post Discharge Continuing Care Plan Transmitted) that are used in The Joint Commission s accreditation process. Note that this is a paired measure with HBIPS-4 (Patients discharged on multiple antipsychotic medications).",Psychiatric inpatients discharged on two or more routinely scheduled antipsychotic medications with appropriate justification,Psychiatric inpatients discharged on two or more routinely scheduled antipsychotic medications,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,3,FALSE
1651,NA,NA,NA,NA,NA,Stabilization in Bathing,Percentage of home health quality episodes of care during which the patient improved or stayed the same in the ability to bathe.,Number of home health quality episodes of care where the value recorded on the discharge assessment indicates the same or less impairment in bathing at discharge than at start (or resumption) of care.,"Number of home health quality episodes of care ending with a discharge during the reporting period, other than those covered by generic or measure-specific exclusions.",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,FALSE
1677,1654,NA,NA,NA,NA,Tobacco Use Treatment Provided or Offered,"The measure is reported as an overall rate which includes all hospitalized patients 18 years of age and older to whom tobacco use treatment was provided during the hospital stay within the first three days after admission, or offered and refused, and a second rate, a subset of the first, which includes only those patients who received tobacco use treatment during the hospital stay within the first three days after admission. These measures are intended to be used as part of a set of 4 linked measures addressing Tobacco Use (TOB-1 Tobacco Use Screening; TOB-3 Tobacco Use Treatment Provided or Offered at Discharge; TOB-4 Tobacco Use: Assessing Status After Discharge.)","TOB-2: The number of patients who received or refused practical counseling to quit AND received or refused FDA-approved cessation medications during the hospital stay.
TOB-2a: The number of patients who received practical counseling to quit AND received FDA-approved cessation medications during the hospital stay.",The number of hospitalized inpatients 18 years of age and older identified as current tobacco users.,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,3,FALSE
1689,2496,NA,NA,NA,NA,Standardized Readmission Ratio (SRR),Ratio of the number of observed unplanned 30-day hospital readmissions to the number of expected unplanned 30-day readmissions.,Number of unplanned 30-day hospital readmissions.,"The expected number of unplanned 30-day hospital readmissions in each facility, which is derived from a model that accounts for patient characteristics, the dialysis facility to which the patient is discharged and the discharging acute care or critical access hospital involved.",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,FALSE
