term,term_count,doc_count,concept
a's,3,3,NA
a.e,3,3,NA
a.k,3,3,NA
a.pdf,3,2,NA
a.t,3,3,NA
aa_proposed,3,3,NA
aacs_r_bedrooms,3,3,NA
aar,3,3,NA
aas,3,3,NA
abad,3,2,NA
abdominal_hysterectomy,3,3,NA
abdominal_radiograph,3,2,NA
abetting,3,3,NA
abiding,3,2,NA
ability_calculate,3,3,NA
ability_fully,3,3,NA
ability_see,3,2,NA
ability_self,3,2,NA
ability_take,3,3,NA
ablate,3,3,NA
ablation_services,3,2,services
able_self,3,2,NA
able_verify,3,3,NA
ablls,3,3,NA
abolished,3,3,NA
abortion_d,3,3,NA
abridge,3,3,NA
abruptly,3,3,NA
absent_four,3,3,NA
absolve,3,3,NA
abstracted_measure,3,3,NA
abstraction_of,3,3,NA
abundance_of,3,3,NA
abundantly,3,3,NA
abuse_coordinating,3,3,NA
abuse_disorders,3,3,needs
abuse_include,3,2,NA
acc,3,2,NA
acceleratinghieprinciples,3,3,NA
accept_new,3,3,NA
accept_retain,3,3,NA
accept_summary_of_care,3,3,NA
acceptable_standards,3,3,NA
accepted_clinical,3,3,NA
accepted_hha,3,3,NA
accepted_licensee,3,3,NA
access_alternative,3,3,NA
access_beneficiaries,3,3,NA
access_centers,3,3,NA
access_full,3,3,NA
access_hospital,3,3,NA
access_personal,3,2,NA
access_programs,3,3,NA
access_receive,3,3,NA
access_resident,3,3,NA
access_social,3,3,NA
access_specialty,3,2,NA
access_technology,3,3,NA
access_testing,3,3,NA
access_two,3,3,NA
access_type,3,3,NA
access_use_of_personal,3,3,NA
accessible_alternative,3,2,NA
accessible_equipment,3,2,NA
accessible_patients,3,2,person
accession,3,3,NA
accommodate_growth,3,3,NA
accommodations_accessible,3,3,NA
accomplish_ipos,3,3,plan_of_service
accordance_amendments,3,3,NA
accordance_american,3,3,NA
accordance_asp,3,3,NA
accordance_clause,3,2,NA
accordance_ltch,3,2,NA
accordance_michigan,3,3,NA
accordance_subclause,3,3,NA
accordance_usual,3,3,NA
according_applicable,3,2,NA
according_latest_information_available,3,2,NA
according_official,3,3,NA
accordingly_establishing,3,3,NA
accordingly_following,3,3,NA
accordingly_section_v.a_of,3,3,NA
account_added,3,3,NA
account_approximately_percent_of,3,3,NA
account_certain,3,3,NA
account_data,3,3,NA
account_expected,3,3,NA
account_facility,3,2,NA
account_findings,3,3,NA
account_increases,3,3,NA
account_input,3,3,NA
account_ms,3,3,NA
account_nonmonotonically,3,3,NA
account_patient_risk_factors,3,3,safety
account_patients,3,3,person
account_reductions,3,3,NA
account_referrals,3,2,NA
account_resource,3,3,NA
account_rolling,3,3,NA
account_time,3,3,NA
accountability_office,3,3,NA
accountable_performance,3,3,NA
accreditation_surveys,3,3,NA
accredited_cms,3,3,NA
accredited_hospital,3,2,NA
accumulate,3,3,NA
accuracy_improved,3,3,NA
accuracy_payment,3,3,NA
accurate_prices,3,3,NA
accurate_standardized,3,3,NA
accurately_captures,3,3,NA
accurately_valuing,3,2,NA
acd,3,3,NA
achieve_full,3,3,NA
achieve_high,3,3,NA
achieve_required,3,3,NA
achieved_use,3,3,NA
achieves_quality,3,3,NA
aco's_financial,3,3,NA
aco's_first_performance_year,3,2,NA
aco's_latest,3,3,NA
aco's_regional,3,3,NA
aco_beneficiary,3,2,person
aco_compliance,3,3,NA
aco_defined,3,3,NA
aco_legal,3,2,NA
aco_mips,3,3,NA
aco_required,3,2,NA
aco_submits,3,3,NA
aco_track,3,3,NA
aco_using,3,3,NA
aco_whose,3,2,NA
acos_achieve,3,3,NA
acos_complete,3,3,NA
acos_demonstrate,3,2,NA
acos_enter,3,3,NA
acos_however,3,3,NA
acos_including,3,2,NA
acos_one,3,2,NA
acos_review,3,3,NA
acos_track_enhanced_track,3,2,NA
acos_within,3,2,NA
acoustical,3,3,NA
acronym_appendix,3,3,NA
acronym_final,3,3,NA
across_federal,3,3,NA
across_inpatient,3,3,services
across_medical,3,3,NA
across_patient,3,3,person
act's,3,3,NA
act_allows,3,3,NA
act_amendments,3,2,NA
act_authorized,3,3,NA
act_discussed,3,3,NA
act_eff_july_popular,3,3,NA
act_eff_june_popular,3,3,NA
act_implemented,3,3,NA
act_implementing,3,2,NA
act_local,3,3,NA
act_may_result,3,3,NA
act_michigan,3,3,NA
act_of_mippa_pub,3,3,NA
act_pa,3,2,NA
act_practice,3,2,NA
act_pre,3,3,NA
act_requires_secretary,3,3,NA
act_requires_secretary_pay,3,3,NA
act_requiring,3,3,NA
act_respect,3,3,NA
act_section_of_act,3,3,NA
act_states_factor_equal,3,3,NA
act_subject,3,3,NA
act_well,3,3,NA
acting_delegatory,3,3,NA
acting_good,3,3,NA
action_address,3,3,NA
action_appropriate,3,3,NA
action_c,3,3,NA
action_damages,3,3,NA
action_notices,3,3,NA
action_sec,3,3,NA
action_subsection,3,3,NA
action_terminate,3,3,NA
actions_demonstrate,3,3,NA
actions_result,3,3,NA
actions_take,3,3,NA
active_surveillance,3,3,NA
actively_participated,3,3,NA
actively_seek,3,3,NA
activities_accomplished,3,2,NA
activities_across,3,3,NA
activities_beginning,3,3,NA
activities_can,3,3,NA
activities_category,3,2,NA
activities_chosen,3,3,NA
activities_conduct,3,3,NA
activities_eating,3,3,NA
activities_foster,3,3,NA
activities_general,3,3,NA
activities_involved,3,2,NA
activities_needed,3,3,NA
activities_of_social_religious,3,3,NA
activities_pain,3,2,NA
activities_pain_interference_day,3,2,NA
activities_pccm,3,3,NA
activities_professional,3,3,NA
activities_score,3,3,NA
activities_take,3,3,NA
activities_validation,3,3,NA
activities_without,3,3,NA
activity_activity,3,3,NA
activity_can,3,3,NA
activity_improvement,3,3,NA
activity_mips,3,3,NA
activity_movement,3,2,NA
activity_paragraph,3,3,NA
activity_source,3,3,NA
actors,3,3,NA
acts_of_amended_et,3,2,NA
actual_alleged,3,3,NA
actual_fy_average,3,2,NA
actuarially,3,3,NA
actuary_of,3,3,NA
acuity_diagnoses,3,2,NA
acupressure,3,2,NA
acute_care_transformation_act,3,3,NA
acute_organ,3,2,NA
acute_rehabilitation,3,3,NA
adaptability,3,3,NA
adapter,3,3,NA
add_act_eff_jan,3,3,NA
add_act_eff_july,3,3,NA
add_code_cpt_code,3,3,NA
add_episode,3,3,NA
add_flexibility,3,3,NA
add_new_pace_center,3,2,NA
add_new_rule_require,3,3,NA
add_payments_aquabeam_system,3,3,NA
add_payments_refer_readers,3,3,NA
add_pccm,3,3,NA
add_regulatory,3,3,NA
add_text,3,3,NA
add_word,3,3,NA
added_cms,3,3,NA
added_cross,3,3,NA
added_interim,3,2,NA
addenda_opps,3,3,NA
addendum_e,3,2,NA
addendum_s,3,2,NA
addendum_setting,3,3,NA
addictive,3,2,NA
adding_alphabetical,3,3,NA
adding_codes,3,3,NA
adding_following,3,2,NA
adding_new_paragraph_d,3,3,NA
addition_adjustment,3,3,NA
addition_basic,3,3,NA
addition_codes,3,3,NA
addition_definitions,3,3,NA
addition_due,3,3,NA
addition_established,3,3,NA
addition_mips,3,3,NA
addition_ms,3,3,NA
addition_reasons,3,3,NA
addition_regular,3,3,NA
addition_removal,3,2,NA
addition_result,3,3,NA
addition_two,3,3,NA
additional_areas,3,3,NA
additional_burdens,3,3,NA
additional_clarity,3,3,NA
additional_consideration,3,3,NA
additional_development,3,3,NA
additional_enrollment,3,2,NA
additional_feedback,3,3,NA
additional_hr,3,3,NA
additional_laboratories,3,2,NA
additional_limitations,3,3,NA
additional_points,3,3,NA
additional_primary,3,3,NA
additional_qualifications,3,3,NA
additional_reduction,3,3,NA
additional_restrictions,3,3,NA
additional_safeguards,3,3,NA
additional_separate,3,3,NA
additional_sq,3,3,NA
additional_suggestions,3,3,NA
additional_supplemental,3,3,NA
additional_support,3,3,NA
additionally_required,3,3,NA
address_application,3,2,NA
address_budget,3,3,NA
address_certain,3,3,NA
address_challenges,3,2,NA
address_change,3,3,NA
address_city,3,3,NA
address_domain,3,3,NA
address_es,3,3,NA
address_minimum,3,3,NA
address_opioid,3,2,NA
address_participant's,3,3,NA
address_quality,3,3,NA
address_situation,3,3,NA
addressed_identifies_policies_discretion,3,3,NA
addressed_policy,3,3,NA
addressed_response,3,3,NA
addressed_separate,3,3,NA
addresses_commenter's,3,3,NA
addresses_needs,3,3,NA
adenoma,3,3,NA
adequate_nutrition,3,3,NA
adequate_patient,3,3,person
adequate_supervision,3,3,NA
