term,term_count,doc_count
a's,3,3
a.e,3,3
a.k,3,3
a.pdf,3,2
a.t,3,3
aa_proposed,3,3
aacs_r_bedrooms,3,3
aar,3,3
aas,3,3
abad,3,2
abdominal_hysterectomy,3,3
abdominal_radiograph,3,2
abetting,3,3
abiding,3,2
ability_calculate,3,3
ability_fully,3,3
ability_see,3,2
ability_self,3,2
ability_take,3,3
ablate,3,3
ablation_services,3,2
able_self,3,2
able_verify,3,3
ablls,3,3
abolished,3,3
abortion_d,3,3
abridge,3,3
abruptly,3,3
absent_four,3,3
absolve,3,3
abstracted_measure,3,3
abstraction_of,3,3
abundance_of,3,3
abundantly,3,3
abuse_coordinating,3,3
abuse_disorders,3,3
abuse_include,3,2
acc,3,2
acceleratinghieprinciples,3,3
accept_new,3,3
accept_retain,3,3
accept_summary_of_care,3,3
acceptable_standards,3,3
accepted_clinical,3,3
accepted_hha,3,3
accepted_licensee,3,3
access_alternative,3,3
access_beneficiaries,3,3
access_centers,3,3
access_full,3,3
access_hospital,3,3
access_personal,3,2
access_programs,3,3
access_receive,3,3
access_resident,3,3
access_social,3,3
access_specialty,3,2
access_technology,3,3
access_testing,3,3
access_two,3,3
access_type,3,3
access_use_of_personal,3,3
accessible_alternative,3,2
accessible_equipment,3,2
accessible_patients,3,2
accession,3,3
accommodate_growth,3,3
accommodations_accessible,3,3
accomplish_ipos,3,3
accordance_amendments,3,3
accordance_american,3,3
accordance_asp,3,3
accordance_clause,3,2
accordance_ltch,3,2
accordance_michigan,3,3
accordance_subclause,3,3
accordance_usual,3,3
according_applicable,3,2
according_latest_information_available,3,2
according_official,3,3
accordingly_establishing,3,3
accordingly_following,3,3
accordingly_section_v.a_of,3,3
account_added,3,3
account_approximately_percent_of,3,3
account_certain,3,3
account_data,3,3
account_expected,3,3
account_facility,3,2
account_findings,3,3
account_increases,3,3
account_input,3,3
account_ms,3,3
account_nonmonotonically,3,3
account_patient_risk_factors,3,3
account_patients,3,3
account_reductions,3,3
account_referrals,3,2
account_resource,3,3
account_rolling,3,3
account_time,3,3
accountability_office,3,3
accountable_performance,3,3
accreditation_surveys,3,3
accredited_cms,3,3
accredited_hospital,3,2
accumulate,3,3
accuracy_improved,3,3
accuracy_payment,3,3
accurate_prices,3,3
accurate_standardized,3,3
accurately_captures,3,3
accurately_valuing,3,2
acd,3,3
achieve_full,3,3
achieve_high,3,3
achieve_required,3,3
achieved_use,3,3
achieves_quality,3,3
aco's_financial,3,3
aco's_first_performance_year,3,2
aco's_latest,3,3
aco's_regional,3,3
aco_beneficiary,3,2
aco_compliance,3,3
aco_defined,3,3
aco_legal,3,2
aco_mips,3,3
aco_required,3,2
aco_submits,3,3
aco_track,3,3
aco_using,3,3
aco_whose,3,2
acos_achieve,3,3
acos_complete,3,3
acos_demonstrate,3,2
acos_enter,3,3
acos_however,3,3
acos_including,3,2
acos_one,3,2
acos_review,3,3
acos_track_enhanced_track,3,2
acos_within,3,2
acoustical,3,3
acronym_appendix,3,3
acronym_final,3,3
across_federal,3,3
across_inpatient,3,3
across_medical,3,3
across_patient,3,3
act's,3,3
act_allows,3,3
act_amendments,3,2
act_authorized,3,3
act_discussed,3,3
act_eff_july_popular,3,3
act_eff_june_popular,3,3
act_implemented,3,3
act_implementing,3,2
act_local,3,3
act_may_result,3,3
act_michigan,3,3
act_of_mippa_pub,3,3
act_pa,3,2
act_practice,3,2
act_pre,3,3
act_requires_secretary,3,3
act_requires_secretary_pay,3,3
act_requiring,3,3
act_respect,3,3
act_section_of_act,3,3
act_states_factor_equal,3,3
act_subject,3,3
act_well,3,3
acting_delegatory,3,3
acting_good,3,3
action_address,3,3
action_appropriate,3,3
action_c,3,3
action_damages,3,3
action_notices,3,3
action_sec,3,3
action_subsection,3,3
action_terminate,3,3
actions_demonstrate,3,3
actions_result,3,3
actions_take,3,3
active_surveillance,3,3
actively_participated,3,3
actively_seek,3,3
activities_accomplished,3,2
activities_across,3,3
activities_beginning,3,3
activities_can,3,3
activities_category,3,2
activities_chosen,3,3
activities_conduct,3,3
activities_eating,3,3
activities_foster,3,3
activities_general,3,3
activities_involved,3,2
activities_needed,3,3
activities_of_social_religious,3,3
activities_pain,3,2
activities_pain_interference_day,3,2
activities_pccm,3,3
activities_professional,3,3
activities_score,3,3
activities_take,3,3
activities_validation,3,3
activities_without,3,3
activity_activity,3,3
activity_can,3,3
activity_improvement,3,3
activity_mips,3,3
activity_movement,3,2
activity_paragraph,3,3
activity_source,3,3
actors,3,3
acts_of_amended_et,3,2
actual_alleged,3,3
actual_fy_average,3,2
actuarially,3,3
actuary_of,3,3
acuity_diagnoses,3,2
acupressure,3,2
acute_care_transformation_act,3,3
acute_organ,3,2
acute_rehabilitation,3,3
adaptability,3,3
adapter,3,3
add_act_eff_jan,3,3
add_act_eff_july,3,3
add_code_cpt_code,3,3
add_episode,3,3
add_flexibility,3,3
add_new_pace_center,3,2
add_new_rule_require,3,3
add_payments_aquabeam_system,3,3
add_payments_refer_readers,3,3
add_pccm,3,3
add_regulatory,3,3
add_text,3,3
add_word,3,3
added_cms,3,3
added_cross,3,3
added_interim,3,2
addenda_opps,3,3
addendum_e,3,2
addendum_s,3,2
addendum_setting,3,3
addictive,3,2
adding_alphabetical,3,3
adding_codes,3,3
adding_following,3,2
adding_new_paragraph_d,3,3
addition_adjustment,3,3
addition_basic,3,3
addition_codes,3,3
addition_definitions,3,3
addition_due,3,3
addition_established,3,3
addition_mips,3,3
addition_ms,3,3
addition_reasons,3,3
addition_regular,3,3
addition_removal,3,2
addition_result,3,3
addition_two,3,3
additional_areas,3,3
additional_burdens,3,3
additional_clarity,3,3
additional_consideration,3,3
additional_development,3,3
additional_enrollment,3,2
additional_feedback,3,3
additional_hr,3,3
additional_laboratories,3,2
additional_limitations,3,3
additional_points,3,3
additional_primary,3,3
additional_qualifications,3,3
additional_reduction,3,3
additional_restrictions,3,3
additional_safeguards,3,3
additional_separate,3,3
additional_sq,3,3
additional_suggestions,3,3
additional_supplemental,3,3
additional_support,3,3
additionally_required,3,3
address_application,3,2
address_budget,3,3
address_certain,3,3
address_challenges,3,2
address_change,3,3
address_city,3,3
address_domain,3,3
address_es,3,3
address_minimum,3,3
address_opioid,3,2
address_participant's,3,3
address_quality,3,3
address_situation,3,3
addressed_identifies_policies_discretion,3,3
addressed_policy,3,3
addressed_response,3,3
addressed_separate,3,3
addresses_commenter's,3,3
addresses_needs,3,3
adenoma,3,3
adequate_nutrition,3,3
adequate_patient,3,3
adequate_supervision,3,3
adequately_timely_cover_services,3,3
adhd,3,2
adherence_medication,3,3
adherence_section,3,3
adhesives,3,2
adjunctive_primary_service,3,3
adjust_amounts,3,3
adjust_budget,3,3
adjust_burden,3,3
adjust_capital,3,3
adjust_ccrs,3,3
adjust_social,3,3
adjust_standardized,3,3
adjusted_base,3,3
adjusted_federal,3,3
adjusted_following,3,3
adjusted_hourly,3,3
adjusted_ltch,3,3
adjusted_reduction,3,2
adjusted_trimmed,3,3
adjusting_work,3,3
adjustment_accordance,3,2
adjustment_budget_neutral,3,3
adjustment_calculation,3,3
adjustment_certain,3,3
adjustment_composite,3,2
adjustment_defined,3,3
adjustment_determined,3,3
adjustment_effect,3,3
adjustment_effective,3,3
adjustment_follows,3,2
adjustment_group,3,3
adjustment_ime,3,3
adjustment_indirect,3,3
adjustment_method,3,2
adjustment_mfp,3,3
adjustment_models,3,3
adjustment_needed,3,3
adjustment_note,3,3
adjustment_overhead,3,3
adjustment_policies,3,3
adjustment_process,3,3
adjustment_refer,3,2
adjustment_reimbursement,3,2
adjustment_schs,3,3
adjustment_social,3,3
adjustment_standardized,3,3
adjustment_still,3,3
adjustment_subject,3,3
adjustment_triggered,3,3
adjustment_variables,3,3
adjustment_wage,3,3
adjustment_wage_index_acute,3,3
adjustments_accordingly,3,3
adjustments_addition,3,3
adjustments_area,3,3
adjustments_beginning,3,3
adjustments_claims,3,3
adjustments_effective,3,3
adjustments_given,3,3
adjustments_one,3,3
adjustments_reflect,3,3
adjustments_required_sections_of,3,3
adjustments_schedule,3,3
adjustments_therefore,3,3
adm,3,3
administer_anesthesia,3,2
administer_payment,3,3
administered_accordance,3,3
administered_funds,3,3
administered_physician,3,3
administration_enforcement,3,3
administration_secretary_finds_necessary,3,2
administration_staff,3,3
administration’s,3,3
administrative_case,3,2
administrative_claiming,3,3
administrative_contractor,3,2
administrative_control,3,3
administrative_law,3,2
administrative_penalties,3,3
administrator_administrative,3,3
administrator_director,3,3
administrator_person,3,3
administrator_sec,3,2
administrator_therapist,3,2
administrator_within,3,3
admission_admission,3,3
admission_also,3,3
admission_authorization,3,2
admission_individual,3,2
